list,rank,goodreads_work_id,title,author,chance,model,why,n_ratings,known,crowd_place,by_taste,crowd_z,taste_z
main,1,2766512,Lord of the Flies,William Golding,87.0,18a974459d312aa53c7e3232b8a12df7,"читатели: Скотный двор 5★, О мышах и людях 5★, Гроздья гнева 5★ | вкус за: Белые ночи 1★ (у всех 4.0) — не похожа",46.0,116075.0,2.0,0.0,37.747,4.633
main,2,3204877,Brave New World,Aldous Huxley,84.0,18a974459d312aa53c7e3232b8a12df7,"читатели: 1984 5★, Скотный двор 5★, 451 по фаренгейту 4★ | вкус за: Белые ночи 1★ (у всех 4.0) — не похожа",46.0,78938.0,1.0,0.0,37.842,3.135
main,3,2574991,East of Eden,John Steinbeck,83.0,18a974459d312aa53c7e3232b8a12df7,"читатели: Гроздья гнева 5★, О мышах и людях 5★ | вкус за: эту книгу обычно ставят 4.3",46.0,24135.0,4.0,0.0,27.097,9.124
main,4,3275794,To Kill a Mockingbird,Harper Lee,82.0,18a974459d312aa53c7e3232b8a12df7,"читатели: О мышах и людях 5★, Скотный двор 5★ | вкус за: эту книгу обычно ставят 4.3",46.0,193844.0,3.0,0.0,28.77,4.261
main,5,2370171,How to Win Friends and Influence People,Dale Carnegie,81.0,18a974459d312aa53c7e3232b8a12df7,"читатели: Думай и богатей 4★, Самый богатый человек в Вавилоне 5★, Богатый папа бедный папа 4★ | вкус за: Норвежский лес 2★ (у всех 4.0) — не похожа",46.0,13968.0,5.0,0.0,23.703,7.733
main,6,45087110,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,80.0,18a974459d312aa53c7e3232b8a12df7,читатели: Sapiens. Краткая история человечества 5★ | вкус за: эту книгу обычно ставят 4.3,46.0,1627.0,7.0,0.0,19.473,7.412
main,7,4835472,The Alchemist,Paulo Coelho,80.0,18a974459d312aa53c7e3232b8a12df7,"читатели: Сиддхартха 5★, Самый богатый человек в Вавилоне 5★, Думай и богатей 4★ | вкус за: Сиддхартха 5★ (у всех 3.9) — похожа",46.0,101803.0,6.0,0.0,22.883,3.404
main,8,6277,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,79.0,18a974459d312aa53c7e3232b8a12df7,"читатели: Думай и богатей 4★, Богатый папа бедный папа 4★, Самый богатый человек в Вавилоне 5★ | вкус за: Норвежский лес 2★ (у всех 4.0) — не похожа",46.0,14249.0,9.0,0.0,13.294,6.259
main,9,93900,Letters from a Stoic,Seneca,79.0,18a974459d312aa53c7e3232b8a12df7,читатели: Радость жизни 5★ | вкус за: эту книгу обычно ставят 4.2,46.0,796.0,11.0,0.0,13.08,5.664
main,10,3230869,Misery,Stephen King,78.0,18a974459d312aa53c7e3232b8a12df7,"читатели: Кладбище домашних животных 4★, Сияние 4★ | вкус за: эту книгу обычно ставят 4.0",46.0,30616.0,10.0,0.0,13.17,5.488
