title,author,rating,goodreads_work_id
Фауст,Иоганн Вольфганг Гете,5,16721
Грозовой перевал,Эмили Бронте,4,1565818
Мертвые души,Николай Гоголь,4,1001298
Война и мир,Лев Толстой,2,4912783
Преступление и наказание,Федор Достоевский,4,3393917
Идиот,Федор Достоевский,3,6552198
Бесы,Федор Достоевский,4,1487216
Посторонний,Альбер Камю,4,3324344
Сто лет одиночества,Габриэль Гарсиа Маркес,5,3295655
Дон Кихот,Мигель де Сервантес,4,121842
Гроздья гнева,Джон Стейнбек,5,2931549
Пена дней,Борис Виан,3,136792
Цитадель,Арчибальд Кронин,4,621034
Портрет Дориана Грея,Оскар Уайльд,4,1858012
О мышах и людях,Джон Стейнбек,5,40283
Хроники Нарнии,Клайв С. Льюис,5,781271
Голодные игры,Сьюзен Коллинз,5,2792775
Пролетая над гнездом кукушки,Кен Кизи,4,2100252
Гарри Поттер,Дж. К. Роулинг,5,2962492
Мартин Иден,Джек Лондон,5,1702482
Парфюмер,Патрик Зюскинд,4,2977727
Цветы для Элджернона,Дэниэл Киз,5,3337594
Атлант расправил плечи,Айн Рэнд,5,817219
Норвежский лес,Харуки Мураками,4,2956680
Эгоистичный ген,Ричард Докинз,4,1746717
Мастер и Маргарита,Михаил Булгаков,4,876183
Граф Монте-Кристо,Александр Дюма,5,391568
Маленький принц,Антуан де Сент-Экзюпери,4,2180358
Зов предков,Джек Лондон,3,3252320
Белый Клык,Джек Лондон,4,2949952
Странник по звездам,Джек Лондон,5,1001804
Двенадцать стульев,"Илья Ильф, Евгений Петров",3,152994
Евгений Онегин,Александр Пушкин,3,1795311
Шоколад,Джоанн Харрис,4,2930558
Понедельник начинается в субботу,"Аркадий и Борис Стругацкие",5,1039633
Дракула,Брэм Стокер,5,3165724
Отцы и дети,Иван Тургенев,4,1294426
О чем я говорю когда говорю о беге,Харуки Мураками,4,2475030
Хроники заводной птицы,Харуки Мураками,5,2531376
Кафка на пляже,Харуки Мураками,4,6191072
Бесцветный Цкуру Тадзаки и годы его странствий,Харуки Мураками,3,24593525
Мцыри,Михаил Лермонтов,5,2713166
Тарас Бульба,Николай Гоголь,3,1316804
Шинель,Николай Гоголь,3,13183177
Обломов,Иван Гончаров,4,1192093
Гранатовый браслет,Александр Куприн,5,791583
Яма,Александр Куприн,4,2777185
Плаха,Чингиз Айтматов,5,3693230
